number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,params_max_df,params_max_ngram,params_min_df,params_penalty,user_attrs_pipeline_path,state
0,,2025-08-03 23:53:32.100903,2025-08-03 23:53:33.026501,0 days 00:00:00.925598,1.1481753943043242,,0.7474348367920886,2,10,l2,,FAIL
1,,2025-08-03 23:54:29.541239,2025-08-03 23:55:26.341880,0 days 00:00:56.800641,15.849624112493927,0.42535966705831496,0.7201746028533846,3,8,elasticnet,,FAIL
2,,2025-08-04 00:00:54.652878,2025-08-04 00:00:55.396704,0 days 00:00:00.743826,0.060272484039091904,,0.7613684416086153,2,9,l2,,FAIL
3,0.8257189390909925,2025-08-04 00:08:14.676857,2025-08-04 00:08:15.359513,0 days 00:00:00.682656,0.037213823406135015,0.36615624536316715,0.8274770483152232,1,8,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_3_pipe.joblib,COMPLETE
4,0.8481160315540904,2025-08-04 00:08:15.398426,2025-08-04 00:08:16.783039,0 days 00:00:01.384613,0.036455886703878046,0.138915553033095,0.9007112356742406,2,9,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_4_pipe.joblib,COMPLETE
5,0.8809704998517609,2025-08-04 00:08:16.816400,2025-08-04 00:12:38.023294,0 days 00:04:21.206894,80.72609335977907,0.053764290860694786,0.8040772220909173,2,5,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_5_pipe.joblib,COMPLETE
6,0.5,2025-08-04 00:12:38.079991,2025-08-04 00:12:38.741450,0 days 00:00:00.661459,0.004702448642909703,0.6130384423895848,0.8827839580648288,2,8,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_6_pipe.joblib,COMPLETE
7,0.9083006666056663,2025-08-04 00:12:38.779744,2025-08-04 00:12:39.882027,0 days 00:00:01.102283,5.101504892404102,,0.8502179471400305,2,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_7_pipe.joblib,COMPLETE
8,0.907148923050688,2025-08-04 00:12:39.948030,2025-08-04 00:12:41.776972,0 days 00:00:01.828942,18.002020718463765,,0.792505745731923,2,2,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_8_pipe.joblib,COMPLETE
9,0.5878506170536839,2025-08-04 00:12:41.814945,2025-08-04 00:12:42.724920,0 days 00:00:00.909975,0.006390228075503394,0.23677304911832475,0.8467605497393733,2,8,elasticnet,C:\Projects\twitter-airline-analysis\artifacts\trial_9_pipe.joblib,COMPLETE
10,0.889267947790735,2025-08-04 00:12:42.773765,2025-08-04 00:12:44.061059,0 days 00:00:01.287294,11.178567235604065,,0.9457704820814028,3,10,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_10_pipe.joblib,COMPLETE
11,0.8732110387747023,2025-08-04 00:12:44.114439,2025-08-04 00:12:45.168980,0 days 00:00:01.054541,0.017509400406287068,,0.7673401483780987,3,9,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_11_pipe.joblib,COMPLETE
12,0.9107937658707393,2025-08-04 00:12:45.229461,2025-08-04 00:12:46.472458,0 days 00:00:01.242997,1.5245680869325118,,0.75896852709378,3,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_12_pipe.joblib,COMPLETE
13,0.8989134377459684,2025-08-04 00:12:46.520628,2025-08-04 00:12:49.543543,0 days 00:00:03.022915,0.49583204311837525,,0.7079961349812044,3,1,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_13_pipe.joblib,COMPLETE
14,0.9059194821917979,2025-08-04 00:12:49.599976,2025-08-04 00:12:50.161788,0 days 00:00:00.561812,1.2012281417087878,,0.7266463175494071,1,4,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_14_pipe.joblib,COMPLETE
15,0.90895418426929,2025-08-04 00:12:50.206362,2025-08-04 00:12:51.628136,0 days 00:00:01.421774,3.6377727030557914,,0.9625779645749888,3,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_15_pipe.joblib,COMPLETE
16,0.9076563983013383,2025-08-04 00:12:51.676606,2025-08-04 00:12:52.957410,0 days 00:00:01.280804,2.131964630563712,,0.9800516027576999,3,6,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_16_pipe.joblib,COMPLETE
17,0.9034591793150465,2025-08-04 00:12:52.993457,2025-08-04 00:12:54.309026,0 days 00:00:01.315569,0.31161943721435864,,0.9933669858599004,3,3,l2,C:\Projects\twitter-airline-analysis\artifacts\trial_17_pipe.joblib,COMPLETE
